Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8225837068,2.29846419197;"{""type"": ""Point"", ""coordinates"": [2.298464191970635, 48.82258370683771]}";166;413433;504;Malakoff-Plateau de Vanves;MALAKOFF-PLATEAU DE VANVES;Malakoff-Plateau de Vanves;2329;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114037;13;METRO;M13;3.0;110.0;RATP;899948;1;0;648492.7655;6858286.7117
48.8914650003,2.34981545185;"{""type"": ""Point"", ""coordinates"": [2.349815451854587, 48.89146500032527]}";170;44075;510;Marcadet-Poissonniers;MARCADET-POISSONNIERS;Marcadet-Poissonniers;2301;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112081;12;METRO;M12;3.0;110.0;RATP;0;1;0;652325.9876;6865913.4413
48.8737095277,2.31460632162;"{""type"": ""Point"", ""coordinates"": [2.314606321619312, 48.87370952773763]}";183;43511;549;Miromesnil;MIROMESNIL;Miromesnil;2246;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-114059;9;METRO;M9;3.0;110.0;RATP;0;1;0;649727.2457;6863960.9825
48.8444086721,2.39007511282;"{""type"": ""Point"", ""coordinates"": [2.390075112820029, 48.8444086720789]}";185;44160;555;Montgallet;MONTGALLET;MONTGALLET;2201;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108067;8;METRO;M8;3.0;110.0;RATP;0;1;0;655237.5024;6860657.5602
48.8493505536,2.29830140173;"{""type"": ""Point"", ""coordinates"": [2.298301401728378, 48.849350553620916]}";188;43566;420;La Motte Picquet-Grenelle;LA MOTTE-PICQUET-GRENELLE;La Motte Picquet Grenelle;2274;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-106071;10;METRO;M10;3.0;110.0;RATP;0;1;0;648507.262;6861262.9852
48.8796347607,2.32702220089;"{""type"": ""Point"", ""coordinates"": [2.327022200889502, 48.879634760656806]}";202;43814;467;Liège;LIEGE;Liège;2342;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;;13;5.0;13-114063;13;METRO;M13;3.0;110.0;RATP;0;1;0;650643.5277;6864611.9937
48.8814047322,2.36521878185;"{""type"": ""Point"", ""coordinates"": [2.365218781848708, 48.8814047322476]}";204;43823;477;Louis Blanc;LOUIS BLANC;Louis Blanc;2366;Metro;0;0;0;1;0;0;0;0;0;0;M7bis;0;0;0;A01550;;7b;14.0;7b-107041;7b;METRO;M7bis;3.0;110.0;RATP;0;1;0;653446.4009;6864785.6059
48.8530167679,2.33550205309;"{""type"": ""Point"", ""coordinates"": [2.335502053090325, 48.85301676792474]}";208;59379;486;Mabillon;MABILLON;Mabillon;2279;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110057;10;METRO;M10;3.0;110.0;RATP;0;1;0;651240.5212;6861647.0174
48.84267682,2.31281277347;"{""type"": ""Point"", ""coordinates"": [2.312812773474409, 48.842676819975885]}";227;44273;629;Pasteur;PASTEUR;Pasteur;2140;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-112043;6;METRO;M6;3.0;110.0;RATP;0;1;0;649565.6646;6860511.5692
48.8428668307,2.35222472818;"{""type"": ""Point"", ""coordinates"": [2.352224728183083, 48.84286683068265]}";251;44435;655;Place Monge (Jardin des Plantes);PLACE MONGE (JARDIN DES PLANTES);Place Monge;2165;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;;7;13.0;7-107071;7;METRO;M7;3.0;110.0;RATP;0;1;0;652458.3099;6860508.2454
